Label,Image_Path
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_280_3534213.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_357_6453209.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/processed_processed_BA_904365.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_315_4436389.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_14_7780779.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_448_8041518.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/processed_processed_BA_653817.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_475_376036.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_30_6374352.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_214_5902317.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/processed_processed_BA_547170.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_580_155230.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/processed_processed_BA_748012.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_585_3793565.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_348_7452516.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_19_2627172.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_77_7326261.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/processed_processed_BA_733311.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_73_6122114.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_472_2959536.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_334_9514162.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_244_6089993.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_471_2951284.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_8_3259781.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/processed_processed_BA_508288.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_436_3757857.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_25_8513574.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/aug_560_6307419.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/processed_processed_BA_155436.jpg
basophil,../src/data/split_data/train_balanced_masked/basophil/processed_processed_BA_339232.jpg
