Label,Image_Path,ImageSize,CellArea,CellPerimeter,CellCircularity
basophil,../src/data/cropped_images/processed_BA_689200.jpg,129600,10921.5,566.6000661849976,2.339166241772181
basophil,../src/data/cropped_images/processed_BA_883452.jpg,129600,12505.5,684.1391702890396,2.9783654729725617
basophil,../src/data/cropped_images/processed_BA_175579.jpg,129600,9821.5,536.2569210529327,2.330011881589142
basophil,../src/data/cropped_images/processed_BA_775722.jpg,129600,8092.5,683.1686075925827,4.589477356575639
basophil,../src/data/cropped_images/processed_BA_209608.jpg,129600,10413.0,794.1807993650436,4.820066541078444
basophil,../src/data/cropped_images/processed_BA_977935.jpg,129600,12381.0,641.6122586727142,2.645938334304706
basophil,../src/data/cropped_images/processed_BA_95396.jpg,129600,10701.0,601.3279882669449,2.6889864156479084
basophil,../src/data/cropped_images/processed_BA_693714.jpg,129600,11054.0,454.9015817642212,1.489723160117056
basophil,../src/data/cropped_images/processed_BA_878384.jpg,129600,12627.0,969.8620394468307,5.9280229746828494
basophil,../src/data/cropped_images/processed_BA_691117.jpg,129600,12565.0,860.2051844596863,4.686317992018402
basophil,../src/data/cropped_images/processed_BA_240977.jpg,129600,11380.0,916.2051856517792,5.869935983865602
basophil,../src/data/cropped_images/processed_BA_762060.jpg,129600,9341.0,414.4163010120392,1.4630879176781197
basophil,../src/data/cropped_images/processed_BA_347981.jpg,129600,13502.0,471.5878734588623,1.3107422251683063
basophil,../src/data/cropped_images/processed_BA_418760.jpg,129600,9758.0,627.4701236486435,3.2108160594791104
basophil,../src/data/cropped_images/processed_BA_727528.jpg,129600,9789.0,692.7249563932419,3.900977769901413
basophil,../src/data/cropped_images/processed_BA_879878.jpg,129600,14507.5,776.6244510412216,3.3084126751463443
basophil,../src/data/cropped_images/processed_BA_238012.jpg,129600,12861.0,601.6711341142654,2.2399264088796853
basophil,../src/data/cropped_images/processed_BA_752996.jpg,129600,9911.5,576.8843369483948,2.671949500381682
basophil,../src/data/cropped_images/processed_BA_482919.jpg,129600,10856.5,448.6589411497116,1.4754787305319188
basophil,../src/data/cropped_images/processed_BA_23839.jpg,129600,8371.5,405.6883795261383,1.564487114155959
basophil,../src/data/cropped_images/processed_BA_535962.jpg,129600,14794.5,646.3401792049408,2.247046979689643
basophil,../src/data/cropped_images/processed_BA_961010.jpg,129600,10840.5,509.1442230939865,1.9029284677232454
basophil,../src/data/cropped_images/processed_BA_77298.jpg,129600,10202.0,595.4701235294342,2.765825458702729
basophil,../src/data/cropped_images/processed_BA_499861.jpg,129600,10267.0,638.2985501289368,3.1578703083495165
basophil,../src/data/cropped_images/processed_BA_620858.jpg,129600,9906.5,540.4579310417175,2.3463547836530108
basophil,../src/data/cropped_images/processed_BA_633824.jpg,129600,9756.5,755.5950140953064,4.656657045534607
basophil,../src/data/cropped_images/processed_BA_391096.jpg,129600,11062.0,549.1858520507812,2.169677388423696
basophil,../src/data/cropped_images/processed_BA_152930.jpg,129600,7548.5,450.37467086315155,2.138343112268323
basophil,../src/data/cropped_images/processed_BA_254321.jpg,129600,9678.0,409.30360305309296,1.3775128335101312
basophil,../src/data/cropped_images/processed_BA_56068.jpg,129600,8235.0,375.5046135187149,1.3625645537690503
basophil,../src/data/cropped_images/processed_BA_931425.jpg,129600,11124.0,426.81832242012024,1.3032125836252757
basophil,../src/data/cropped_images/processed_BA_99625.jpg,129600,12726.0,736.1808004379272,3.388965836589253
basophil,../src/data/cropped_images/processed_BA_278185.jpg,129600,12619.0,604.8427065610886,2.307013266052532
basophil,../src/data/cropped_images/processed_BA_594363.jpg,129600,11114.0,525.8721444606781,1.9800678718636004
basophil,../src/data/cropped_images/processed_BA_464090.jpg,129600,9423.0,449.7888844013214,1.708513370881248
basophil,../src/data/cropped_images/processed_BA_661622.jpg,129600,16207.0,1038.2295689582825,5.292663595238989
basophil,../src/data/cropped_images/processed_BA_412674.jpg,129600,9629.5,517.0020875930786,2.2088742474721745
basophil,../src/data/cropped_images/processed_BA_250620.jpg,129600,10278.5,524.1147849559784,2.126734213988764
basophil,../src/data/cropped_images/processed_BA_991876.jpg,129600,9795.0,574.0142794847488,2.6768934693959365
basophil,../src/data/cropped_images/processed_BA_472802.jpg,129600,10754.5,450.5168058872223,1.5018339055720562
basophil,../src/data/cropped_images/processed_BA_842435.jpg,129600,9700.0,530.0142785310745,2.3045892987469063
basophil,../src/data/cropped_images/processed_BA_754114.jpg,129600,9348.0,554.3574259281158,2.6160809076251668
basophil,../src/data/cropped_images/processed_BA_746935.jpg,129600,12638.5,702.2813053131104,3.10539477935986
basophil,../src/data/cropped_images/processed_BA_723161.jpg,129600,8420.5,664.139170050621,4.168410162269448
basophil,../src/data/cropped_images/processed_BA_2862.jpg,129600,10836.5,529.2863578796387,2.0572283541011096
basophil,../src/data/cropped_images/processed_BA_510275.jpg,129600,14212.5,647.9970341920853,2.3510707294165085
basophil,../src/data/cropped_images/processed_BA_809385.jpg,129600,8389.0,852.8082160949707,6.8989451660427905
basophil,../src/data/cropped_images/processed_BA_545506.jpg,129600,12764.0,879.9209156036377,4.827148087668159
basophil,../src/data/cropped_images/processed_BA_563270.jpg,129600,9964.5,572.0559102296829,2.6134342493647496
basophil,../src/data/cropped_images/processed_BA_893495.jpg,129600,12700.5,1076.614344716072,7.262558458711314
basophil,../src/data/cropped_images/processed_BA_215988.jpg,129600,12517.0,513.7300089597702,1.677875583871799
basophil,../src/data/cropped_images/processed_BA_659008.jpg,129600,11505.5,966.7320955991745,6.463934010384219
basophil,../src/data/cropped_images/processed_BA_434512.jpg,129600,11329.5,764.0802946090698,4.100694268720175
basophil,../src/data/cropped_images/processed_BA_313484.jpg,129600,9162.0,486.4163006544113,2.055020173075981
basophil,../src/data/cropped_images/processed_BA_275073.jpg,129600,14561.0,567.6711344718933,1.7611346295089527
basophil,../src/data/cropped_images/processed_BA_41844.jpg,129600,9619.0,624.097539305687,3.2222939191245774
basophil,../src/data/cropped_images/processed_BA_377664.jpg,129600,9061.0,475.9310201406479,1.9893080027040229
basophil,../src/data/cropped_images/processed_BA_509334.jpg,129600,9654.0,434.6761863231659,1.5574515226146686
basophil,../src/data/cropped_images/processed_BA_121897.jpg,129600,12220.5,463.0020874738693,1.3959409861704855
basophil,../src/data/cropped_images/processed_BA_463847.jpg,129600,8384.5,393.74725353717804,1.471458580941958
