Label,White_Area,Mask_Path
5,7574,/content/drive/MyDrive/unet/filtered_masks_test/MY_207774.jpg
5,9600,/content/drive/MyDrive/unet/filtered_masks_test/MY_504047.jpg
5,12635,/content/drive/MyDrive/unet/filtered_masks_test/PMY_233788.jpg
5,11017,/content/drive/MyDrive/unet/filtered_masks_test/MY_451389.jpg
5,11266,/content/drive/MyDrive/unet/filtered_masks_test/PMY_44483.jpg
5,8198,/content/drive/MyDrive/unet/filtered_masks_test/MY_645083.jpg
5,9209,/content/drive/MyDrive/unet/filtered_masks_test/MY_565781.jpg
5,9115,/content/drive/MyDrive/unet/filtered_masks_test/MY_595819.jpg
5,7462,/content/drive/MyDrive/unet/filtered_masks_test/MY_382967.jpg
5,6982,/content/drive/MyDrive/unet/filtered_masks_test/MY_67066.jpg
5,8867,/content/drive/MyDrive/unet/filtered_masks_test/MY_429336.jpg
5,10338,/content/drive/MyDrive/unet/filtered_masks_test/PMY_875636.jpg
5,9946,/content/drive/MyDrive/unet/filtered_masks_test/PMY_724701.jpg
5,7914,/content/drive/MyDrive/unet/filtered_masks_test/MY_909234.jpg
5,8715,/content/drive/MyDrive/unet/filtered_masks_test/PMY_355365.jpg
5,8900,/content/drive/MyDrive/unet/filtered_masks_test/MY_169658.jpg
5,11329,/content/drive/MyDrive/unet/filtered_masks_test/PMY_257815.jpg
5,9130,/content/drive/MyDrive/unet/filtered_masks_test/MY_584716.jpg
5,11713,/content/drive/MyDrive/unet/filtered_masks_test/MY_397206.jpg
5,8137,/content/drive/MyDrive/unet/filtered_masks_test/PMY_811544.jpg
5,6981,/content/drive/MyDrive/unet/filtered_masks_test/PMY_305520.jpg
5,12626,/content/drive/MyDrive/unet/filtered_masks_test/MY_621539.jpg
5,12254,/content/drive/MyDrive/unet/filtered_masks_test/PMY_422360.jpg
5,4978,/content/drive/MyDrive/unet/filtered_masks_test/MY_222988.jpg
5,12472,/content/drive/MyDrive/unet/filtered_masks_test/MY_794526.jpg
5,10463,/content/drive/MyDrive/unet/filtered_masks_test/PMY_537229.jpg
5,8143,/content/drive/MyDrive/unet/filtered_masks_test/MY_743097.jpg
5,10040,/content/drive/MyDrive/unet/filtered_masks_test/MY_874894.jpg
5,10063,/content/drive/MyDrive/unet/filtered_masks_test/MY_718440.jpg
5,7134,/content/drive/MyDrive/unet/filtered_masks_test/MY_823095.jpg
5,5905,/content/drive/MyDrive/unet/filtered_masks_test/PMY_458246.jpg
5,9105,/content/drive/MyDrive/unet/filtered_masks_test/MY_884404.jpg
5,10204,/content/drive/MyDrive/unet/filtered_masks_test/PMY_176074.jpg
5,7016,/content/drive/MyDrive/unet/filtered_masks_test/MY_655365.jpg
5,7402,/content/drive/MyDrive/unet/filtered_masks_test/MY_847980.jpg
5,9780,/content/drive/MyDrive/unet/filtered_masks_test/PMY_847546.jpg
5,8190,/content/drive/MyDrive/unet/filtered_masks_test/MY_845983.jpg
5,8309,/content/drive/MyDrive/unet/filtered_masks_test/MY_95550.jpg
5,13590,/content/drive/MyDrive/unet/filtered_masks_test/PMY_230129.jpg
5,14678,/content/drive/MyDrive/unet/filtered_masks_test/MY_722731.jpg
5,9210,/content/drive/MyDrive/unet/filtered_masks_test/MY_972220.jpg
5,8282,/content/drive/MyDrive/unet/filtered_masks_test/PMY_298362.jpg
5,9553,/content/drive/MyDrive/unet/filtered_masks_test/MY_828364.jpg
5,8422,/content/drive/MyDrive/unet/filtered_masks_test/MY_147920.jpg
5,12710,/content/drive/MyDrive/unet/filtered_masks_test/PMY_555715.jpg
5,9728,/content/drive/MyDrive/unet/filtered_masks_test/PMY_865468.jpg
5,5789,/content/drive/MyDrive/unet/filtered_masks_test/MY_493670.jpg
5,8344,/content/drive/MyDrive/unet/filtered_masks_test/MY_916672.jpg
5,8212,/content/drive/MyDrive/unet/filtered_masks_test/MY_888813.jpg
5,7183,/content/drive/MyDrive/unet/filtered_masks_test/MY_45895.jpg
5,7555,/content/drive/MyDrive/unet/filtered_masks_test/MY_564946.jpg
5,12176,/content/drive/MyDrive/unet/filtered_masks_test/MY_881176.jpg
5,12556,/content/drive/MyDrive/unet/filtered_masks_test/MY_21389.jpg
5,9160,/content/drive/MyDrive/unet/filtered_masks_test/PMY_399334.jpg
5,13216,/content/drive/MyDrive/unet/filtered_masks_test/PMY_853430.jpg
5,8773,/content/drive/MyDrive/unet/filtered_masks_test/MY_403991.jpg
5,9763,/content/drive/MyDrive/unet/filtered_masks_test/MY_499127.jpg
5,8847,/content/drive/MyDrive/unet/filtered_masks_test/PMY_359716.jpg
5,8224,/content/drive/MyDrive/unet/filtered_masks_test/PMY_53329.jpg
5,9243,/content/drive/MyDrive/unet/filtered_masks_test/MY_286698.jpg
5,9675,/content/drive/MyDrive/unet/filtered_masks_test/MY_542181.jpg
5,8529,/content/drive/MyDrive/unet/filtered_masks_test/MY_61193.jpg
5,7055,/content/drive/MyDrive/unet/filtered_masks_test/MY_782369.jpg
5,10864,/content/drive/MyDrive/unet/filtered_masks_test/PMY_985577.jpg
5,12279,/content/drive/MyDrive/unet/filtered_masks_test/MY_498640.jpg
5,13589,/content/drive/MyDrive/unet/filtered_masks_test/PMY_515807.jpg
5,8182,/content/drive/MyDrive/unet/filtered_masks_test/MY_226775.jpg
5,7344,/content/drive/MyDrive/unet/filtered_masks_test/MY_979886.jpg
5,6187,/content/drive/MyDrive/unet/filtered_masks_test/MY_661357.jpg
5,14391,/content/drive/MyDrive/unet/filtered_masks_test/PMY_713436.jpg
5,10338,/content/drive/MyDrive/unet/filtered_masks_test/MY_773503.jpg
5,8773,/content/drive/MyDrive/unet/filtered_masks_test/MY_772454.jpg
5,6837,/content/drive/MyDrive/unet/filtered_masks_test/MY_987909.jpg
5,11183,/content/drive/MyDrive/unet/filtered_masks_test/PMY_28761.jpg
5,12628,/content/drive/MyDrive/unet/filtered_masks_test/PMY_297519.jpg
5,7036,/content/drive/MyDrive/unet/filtered_masks_test/MY_42264.jpg
5,8187,/content/drive/MyDrive/unet/filtered_masks_test/MY_977916.jpg
5,6675,/content/drive/MyDrive/unet/filtered_masks_test/MY_812561.jpg
5,9891,/content/drive/MyDrive/unet/filtered_masks_test/PMY_446733.jpg
5,7096,/content/drive/MyDrive/unet/filtered_masks_test/MY_288699.jpg
5,10702,/content/drive/MyDrive/unet/filtered_masks_test/MY_415231.jpg
5,6634,/content/drive/MyDrive/unet/filtered_masks_test/MY_975062.jpg
5,8410,/content/drive/MyDrive/unet/filtered_masks_test/PMY_784590.jpg
5,11215,/content/drive/MyDrive/unet/filtered_masks_test/PMY_89876.jpg
5,11103,/content/drive/MyDrive/unet/filtered_masks_test/PMY_557419.jpg
5,7819,/content/drive/MyDrive/unet/filtered_masks_test/PMY_796085.jpg
5,11191,/content/drive/MyDrive/unet/filtered_masks_test/PMY_519130.jpg
5,13951,/content/drive/MyDrive/unet/filtered_masks_test/PMY_430427.jpg
5,14345,/content/drive/MyDrive/unet/filtered_masks_test/PMY_465350.jpg
