Label,Image_Path,White_Area
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_207774.jpg,7574
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_504047.jpg,9600
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_233788.jpg,12635
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_451389.jpg,11017
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_44483.jpg,11266
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_645083.jpg,8198
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_565781.jpg,9209
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_595819.jpg,9115
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_382967.jpg,7462
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_67066.jpg,6982
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_429336.jpg,8867
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_875636.jpg,10338
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_724701.jpg,9946
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_909234.jpg,7914
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_355365.jpg,8715
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_169658.jpg,8900
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_257815.jpg,11329
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_584716.jpg,9130
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_397206.jpg,11713
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_811544.jpg,8137
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_305520.jpg,6981
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_621539.jpg,12626
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_422360.jpg,12254
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_222988.jpg,4978
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_794526.jpg,12472
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_537229.jpg,10463
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_743097.jpg,8143
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_874894.jpg,10040
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_718440.jpg,10063
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_823095.jpg,7134
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_458246.jpg,5905
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_884404.jpg,9105
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_176074.jpg,10204
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_655365.jpg,7016
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_847980.jpg,7402
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_847546.jpg,9780
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_845983.jpg,8190
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_95550.jpg,8309
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_230129.jpg,13590
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_722731.jpg,14678
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_972220.jpg,9210
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_298362.jpg,8282
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_828364.jpg,9553
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_147920.jpg,8422
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_555715.jpg,12710
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_865468.jpg,9728
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_493670.jpg,5789
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_916672.jpg,8344
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_888813.jpg,8212
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_45895.jpg,7183
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_564946.jpg,7555
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_881176.jpg,12176
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_21389.jpg,12556
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_399334.jpg,9160
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_853430.jpg,13216
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_403991.jpg,8773
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_499127.jpg,9763
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_359716.jpg,8847
5,/content/drive/MyDrive/unet/filtered_masks_test/PMY_53329.jpg,8224
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_286698.jpg,9243
5,/content/drive/MyDrive/unet/filtered_masks_test/MY_542181.jpg,9675
