Label,Image_Path
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_476625.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_229550.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_46485.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_277242.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_168566.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_214867.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_493706.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_152650.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_634320.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_708202.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_427583.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_229935.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_985581.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_408987.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_537842.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_230866.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_768330.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_760857.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_407690.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_359743.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_770783.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_893495.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_462426.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_830328.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_672755.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_248930.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_487129.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_360221.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_344479.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_717119.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_208485.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_482920.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_897131.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_153085.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_66887.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_93046.jpg
basophil,/Volumes/B/BootCamp/Blood_Cell_project/dataset/PBC_dataset_normal_DIB/basophil/BA_846077.jpg
